locname r0  phi0  z0  dr  dphi  dz (r1  phi1  z1  dr1  dphi1  dz1)
rob270     0.95 270.0 1.03 0.20 0.0 0.0
rob275     0.95 275.0 1.03 0.20 0.0 0.0
rob280     0.95 280.0 1.03 0.20 0.0 0.0
rob285     0.95 285.0 1.03 0.20 0.0 0.0
rob290     0.95 290.0 1.03 0.20 0.0 0.0
rob295     0.95 295.0 1.03 0.20 0.0 0.0
rob300     0.95 300.0 1.03 0.20 0.0 0.0
rob305     0.95 305.0 1.03 0.20 0.0 0.0
rob310     0.95 310.0 1.03 0.20 0.0 0.0
rob315     0.95 315.0 1.03 0.20 0.0 0.0
rob320     0.95 320.0 1.03 0.20 0.0 0.0
louvreaug 0.85 27.5 -1.825 0.5 0 0
beamdump   1.837 245 -0.0  0. 35 0.
louvremw 0.8 20 -1.825 0.75 0 0

