x,y,z,radial,toroidal angle
0.481376666,-0.074628586,-1.458879588,0.487127212,-0.15380714
0.481156069,-0.076207635,-1.45885306,0.48715374,-0.157079633
0.480930293,-0.077786039,-1.458826531,0.487180269,-0.160352125
0.480699341,-0.079363782,-1.4588,0.4872068,-0.163624617
0.480463214,-0.080940847,-1.458773467,0.487233333,-0.16689711
0.480221914,-0.082517217,-1.458746934,0.487259866,-0.170169602
0.479975443,-0.084092874,-1.458720398,0.487286402,-0.173442094
0.479723804,-0.085667802,-1.458693862,0.487312938,-0.176714587
0.479466998,-0.087241983,-1.458667323,0.487339477,-0.179987079
0.479205027,-0.088815402,-1.458640784,0.487366016,-0.183259571
0.478937895,-0.090388041,-1.458614243,0.487392557,-0.186532064
0.478665602,-0.091959882,-1.4585877,0.4874191,-0.189804556
0.478388153,-0.09353091,-1.458561156,0.487445644,-0.193077048
0.478105548,-0.095101106,-1.458534611,0.487472189,-0.196349541
0.47781779,-0.096670455,-1.458508064,0.487498736,-0.199622033
0.477524883,-0.09823894,-1.458481516,0.487525284,-0.202894526
0.477226828,-0.099806542,-1.458454966,0.487551834,-0.206167018
0.476923628,-0.101373246,-1.458428415,0.487578385,-0.20943951
0.476615285,-0.102939035,-1.458401862,0.487604938,-0.212712003
0.476301804,-0.104503892,-1.458375308,0.487631492,-0.215984495
0.475983186,-0.1060678,-1.458348753,0.487658047,-0.219256987
0.475659434,-0.107630741,-1.458322196,0.487684604,-0.22252948
0.475330551,-0.1091927,-1.458295637,0.487711163,-0.225801972
0.47499654,-0.110753659,-1.458269078,0.487737722,-0.229074464
0.474657404,-0.112313602,-1.458242516,0.487764284,-0.232346957
0.474313146,-0.113872512,-1.458215954,0.487790846,-0.235619449
0.47396377,-0.115430371,-1.45818939,0.487817411,-0.238891941
0.473609278,-0.116987164,-1.458162824,0.487843976,-0.242164434
0.473249674,-0.118542872,-1.458136257,0.487870543,-0.245436926
0.472884961,-0.120097481,-1.458109688,0.487897112,-0.248709418
0.472515143,-0.121650972,-1.458083118,0.487923682,-0.251981911
0.472140222,-0.123203329,-1.458056547,0.487950253,-0.255254403
0.471760202,-0.124754535,-1.458029974,0.487976826,-0.258526895
0.471375087,-0.126304574,-1.4580034,0.4880034,-0.261799388
0.470984881,-0.127853429,-1.457976824,0.488029976,-0.26507188
0.470589586,-0.129401082,-1.457950247,0.488056553,-0.268344373
0.470189207,-0.130947518,-1.457923669,0.488083131,-0.271616865
0.469783748,-0.13249272,-1.457897089,0.488109712,-0.274889357
0.469373211,-0.13403667,-1.457870507,0.488136293,-0.27816185
0.468957602,-0.135579353,-1.457843924,0.488162876,-0.281434342
0.468536924,-0.137120751,-1.45781734,0.48818946,-0.284706834
0.46811118,-0.138660849,-1.457790754,0.488216046,-0.287979327
0.492855239,0.012905869,-1.467690214,0.493024186,0.026179939
0.492921277,0.011293543,-1.467663765,0.493050635,0.022907446
0.492982041,0.009680924,-1.467637314,0.493077087,0.019634954
0.493037531,0.008068028,-1.467610861,0.493103539,0.016362462
0.493087745,0.006454872,-1.467584407,0.493129993,0.013089969
0.493132683,0.004841474,-1.467557952,0.493156448,0.009817477
0.493172342,0.003227852,-1.467531495,0.493182905,0.006544985
0.493206722,0.001614021,-1.467505037,0.493209363,0.003272492
0.493235823,0,-1.467478577,0.493235823,0
0.493259643,-0.001614194,-1.467452116,0.493262284,-0.003272492
0.493278181,-0.003228544,-1.467425654,0.493288746,-0.006544985
0.493291437,-0.004843033,-1.46739919,0.49331521,-0.009817477
0.49329941,-0.006457643,-1.467372725,0.493341675,-0.013089969
0.493302099,-0.008072357,-1.467346258,0.493368142,-0.016362462
0.493299504,-0.009687158,-1.46731979,0.49339461,-0.019634954
0.493291624,-0.011302028,-1.46729332,0.49342108,-0.022907446
0.493278459,-0.012916951,-1.467266849,0.493447551,-0.026179939
0.493260008,-0.014531909,-1.467240377,0.493474023,-0.029452431
0.493236271,-0.016146884,-1.467213903,0.493500497,-0.032724923
0.493207247,-0.017761859,-1.467187428,0.493526972,-0.035997416
0.493172937,-0.019376817,-1.467160951,0.493553449,-0.039269908
0.49313334,-0.020991742,-1.467134473,0.493579927,-0.042542401
0.493088456,-0.022606614,-1.467107993,0.493606407,-0.045814893
0.493038285,-0.024221418,-1.467081512,0.493632888,-0.049087385
